224	FIRSX	Oct 27, 2017	53.98	Jul 31, 2017	52.92	2.0030289	54.01	-0.055541992
225	FFANX	Oct 27, 2017	11.71	Jul 31, 2017	11.48	2.0034943	11.71	0.0
226	PRMTX	Oct 27, 2017	96.21	Jul 31, 2017	94.32	2.0038147	95.99	0.22919464
227	FKIFX	Oct 27, 2017	14.32	Jul 31, 2017	14.03	2.0669937	14.32	0.0
228	FSLVX	Oct 27, 2017	20.08	Jul 31, 2017	19.67	2.0843887	20.26	-0.8884506
229	FENY	Oct 27, 2017	18.57	Jul 31, 2017	18.19	2.089058	18.69	-0.6420593
230	FSCPX	Oct 27, 2017	39.88	Jul 31, 2017	39.06	2.0993347	39.26	1.5792236
231	FIRUX	Oct 27, 2017	58.64	Jul 31, 2017	57.43	2.1069183	58.66	-0.034095764
232	VDE	Oct 27, 2017	91.73	Jul 31, 2017	89.72	2.240303	92.25	-0.56368256
233	RFV	Oct 27, 2017	65.3	Jul 31, 2017	63.86	2.2549362	65.57	-0.41176605
234	FFVIX	Oct 27, 2017	13.13	Jul 31, 2017	12.84	2.2585602	13.14	-0.07610321	*BT*
235	FIVLX	Oct 27, 2017	9.03	Jul 31, 2017	8.83	2.2649994	9.08	-0.5506668
236	VWINX	Oct 27, 2017	26.9	Jul 31, 2017	26.3	2.2813644	26.87	0.11164093
237	FIRVX	Oct 27, 2017	52.27	Jul 31, 2017	51.1	2.289627	52.29	-0.038246155
238	NBB	Oct 27, 2017	21.39	Jul 31, 2017	20.91	2.295555	21.66	-1.2465439
239	FFVFX	Oct 27, 2017	13.53	Jul 31, 2017	13.22	2.3449326	13.53	0.0
240	FEMEX	Oct 27, 2017	9.38	Jul 31, 2017	9.16	2.4017487	9.55	-1.7801056
241	VICEX	Oct 27, 2017	30.62	Jul 31, 2017	29.9	2.4080276	31.05	-1.3848572
242	GWX	Oct 27, 2017	35.23	Jul 31, 2017	34.4	2.4127808	35.1	0.37036896
243	XLE	Oct 27, 2017	67.34	Jul 31, 2017	65.75	2.4182434	67.77	-0.6344986
244	GTSGX	Oct 27, 2017	9.74	Jul 31, 2017	9.51	2.4185028	9.83	-0.9155655
245	FIXRX	Oct 27, 2017	53.88	Jul 31, 2017	52.6	2.433464	53.91	-0.055648804
246	FIRWX	Oct 27, 2017	58.82	Jul 31, 2017	57.42	2.438179	58.84	-0.033988953
247	FASMX	Oct 27, 2017	18.47	Jul 31, 2017	18.03	2.4403687	18.47	0.0
248	FLIFX	Oct 27, 2017	14.96	Jul 31, 2017	14.6	2.4657516	14.96	0.0
249	FINVX	Oct 27, 2017	10.79	Jul 31, 2017	10.53	2.4691315	10.85	-0.5530014
250	FSCOX	Oct 27, 2017	18.47	Jul 31, 2017	18.02	2.497223	18.45	0.10839844
251	OWSMX	Oct 27, 2017	17.48	Jul 31, 2017	17.05	2.521988	17.53	-0.28523254
252	FDIFX	Oct 27, 2017	14.18	Jul 31, 2017	13.83	2.5307312	14.18	0.0	*BT*
253	FSDIX	Oct 27, 2017	15.7	Jul 31, 2017	15.31	2.547348	15.7	0.0
254	FFFDX	Oct 27, 2017	16.66	Jul 31, 2017	16.24	2.5862122	16.67	-0.05998993
255	PCRIX	Oct 27, 2017	6.71	Jul 31, 2017	6.54	2.5993958	6.64	1.0542145	*BT*
256	FSTSX	Oct 27, 2017	17.96	Jul 31, 2017	17.5	2.628563	17.94	0.11147308
257	FPIFX	Oct 27, 2017	15.7	Jul 31, 2017	15.29	2.6814957	15.7	0.0
258	ACWV	Oct 27, 2017	82.74	Jul 31, 2017	80.56	2.7060623	82.88	-0.16892242
259	FDIVX	Oct 27, 2017	41.11	Jul 31, 2017	40.01	2.749321	41.19	-0.19421387
260	FITWX	Oct 27, 2017	14.13	Jul 31, 2017	13.75	2.7636414	14.13	0.0	*BT*
261	FDIKX	Oct 27, 2017	41.06	Jul 31, 2017	39.95	2.778473	41.14	-0.19445801
262	FFTWX	Oct 27, 2017	14.42	Jul 31, 2017	14.03	2.7797546	14.43	-0.06930542
263	EEH	Oct 27, 2017	18.66	Jul 31, 2017	18.15	2.8099213	18.66	0.0
264	FSUTX	Oct 27, 2017	85.33	Jul 31, 2017	82.98	2.8320084	84.76	0.67248535
265	FSANX	Oct 27, 2017	12.61	Jul 31, 2017	12.26	2.8548126	12.61	0.0
266	FEQIX	Oct 27, 2017	61.28	Jul 31, 2017	59.57	2.870575	61.53	-0.4063034
267	FSMEX	Oct 27, 2017	46.87	Jul 31, 2017	45.56	2.875328	47.08	-0.44606018
